receiver_bank,time_window,transaction_count,failure_rate,timeout_rate,avg_latency,max_latency,p95_latency,bank_error_rate,avg_amount,max_amount,hour,day_of_week,is_weekend,bank_health,previous_failure_rate,previous_latency,previous_timeout_rate,failure_rate_change,latency_change,timeout_rate_change,rolling_failure_rate,rolling_latency,rolling_timeout_rate
AXIS,2026-01-01 00:00:00,1,0.0,0.0,1447.7,1447.7,1447.7,0.0,345.0,345.0,0,3,0,NORMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447.7,0.0
AXIS,2026-01-01 00:55:00,2,0.0,0.0,881.935,883.95,883.7485,0.0,244.72,320.59,0,3,0,NORMAL,0.0,1447.7,0.0,0.0,-565.7650000000001,0.0,0.0,1164.8175,0.0
AXIS,2026-01-01 01:00:00,1,0.0,0.0,882.88,882.88,882.88,0.0,321.0,321.0,1,3,0,NORMAL,0.0,881.935,0.0,0.0,0.94500000000005,0.0,0.0,1070.8383333333334,0.0
AXIS,2026-01-01 01:25:00,1,0.0,0.0,751.67,751.67,751.67,0.0,395.7,395.7,1,3,0,NORMAL,0.0,882.88,0.0,0.0,-131.21000000000004,0.0,0.0,838.8283333333333,0.0
AXIS,2026-01-01 01:35:00,1,0.0,0.0,1161.92,1161.92,1161.92,0.0,32.14,32.14,1,3,0,NORMAL,0.0,751.67,0.0,0.0,410.2500000000001,0.0,0.0,932.1566666666668,0.0
AXIS,2026-01-01 02:10:00,1,0.0,0.0,709.7,709.7,709.7,0.0,920.47,920.47,2,3,0,NORMAL,0.0,1161.92,0.0,0.0,-452.22,0.0,0.0,874.43,0.0
AXIS,2026-01-01 04:30:00,1,0.0,0.0,709.43,709.43,709.43,0.0,2139.03,2139.03,4,3,0,NORMAL,0.0,709.7,0.0,0.0,-0.2700000000000955,0.0,0.0,860.35,0.0
AXIS,2026-01-01 04:45:00,1,0.0,0.0,1779.09,1779.09,1779.09,0.0,563.26,563.26,4,3,0,NORMAL,0.0,709.43,0.0,0.0,1069.6599999999999,0.0,0.0,1066.0733333333333,0.0
AXIS,2026-01-01 05:05:00,2,0.0,0.0,1028.82,1177.27,1162.425,0.0,668.875,999.95,5,3,0,NORMAL,0.0,1779.09,0.0,0.0,-750.27,0.0,0.0,1172.4466666666665,0.0
AXIS,2026-01-01 05:20:00,1,0.0,0.0,632.52,632.52,632.52,0.0,1764.83,1764.83,5,3,0,NORMAL,0.0,1028.82,0.0,0.0,-396.29999999999995,0.0,0.0,1146.8099999999997,0.0
AXIS,2026-01-01 05:40:00,1,0.0,0.0,2283.63,2283.63,2283.63,0.0,94.17,94.17,5,3,0,NORMAL,0.0,632.52,0.0,0.0,1651.1100000000001,0.0,0.0,1314.99,0.0
AXIS,2026-01-01 05:45:00,1,0.0,0.0,1551.29,1551.29,1551.29,0.0,35.01,35.01,5,3,0,NORMAL,0.0,2283.63,0.0,0.0,-732.3400000000001,0.0,0.0,1489.1466666666665,0.0
AXIS,2026-01-01 05:50:00,1,0.0,0.0,1499.12,1499.12,1499.12,0.0,291.86,291.86,5,3,0,NORMAL,0.0,1551.29,0.0,0.0,-52.17000000000007,0.0,0.0,1778.0133333333333,0.0
AXIS,2026-01-01 06:05:00,2,0.0,0.0,1114.7800000000002,1119.66,1119.172,0.0,1685.655,2074.5,6,3,0,NORMAL,0.0,1499.12,0.0,0.0,-384.3399999999997,0.0,0.0,1388.3966666666668,0.0
AXIS,2026-01-01 06:10:00,1,0.0,0.0,1054.64,1054.64,1054.64,0.0,392.05,392.05,6,3,0,NORMAL,0.0,1114.7800000000002,0.0,0.0,-60.1400000000001,0.0,0.0,1222.8466666666666,0.0
AXIS,2026-01-01 06:30:00,1,0.0,0.0,1202.21,1202.21,1202.21,0.0,361.63,361.63,6,3,0,NORMAL,0.0,1054.64,0.0,0.0,147.56999999999994,0.0,0.0,1123.8766666666668,0.0
AXIS,2026-01-01 06:40:00,1,0.0,0.0,725.28,725.28,725.28,0.0,912.18,912.18,6,3,0,NORMAL,0.0,1202.21,0.0,0.0,-476.93000000000006,0.0,0.0,994.0433333333334,0.0
AXIS,2026-01-01 06:50:00,1,0.0,0.0,1599.11,1599.11,1599.11,0.0,602.04,602.04,6,3,0,NORMAL,0.0,725.28,0.0,0.0,873.8299999999999,0.0,0.0,1175.5333333333333,0.0
AXIS,2026-01-01 06:55:00,2,0.0,0.0,620.6800000000001,723.13,712.885,0.0,1424.515,2436.99,6,3,0,NORMAL,0.0,1599.11,0.0,0.0,-978.4299999999998,0.0,0.0,981.6899999999999,0.0
AXIS,2026-01-01 07:15:00,1,0.0,0.0,1684.46,1684.46,1684.46,0.0,594.73,594.73,7,3,0,NORMAL,0.0,620.6800000000001,0.0,0.0,1063.78,0.0,0.0,1301.4166666666667,0.0
AXIS,2026-01-01 07:25:00,1,100.0,0.0,1549.66,1549.66,1549.66,100.0,912.65,912.65,7,3,0,NORMAL,0.0,1684.46,0.0,100.0,-134.79999999999995,0.0,33.333333333333336,1284.9333333333334,0.0
AXIS,2026-01-01 07:30:00,1,0.0,0.0,1294.14,1294.14,1294.14,0.0,143.02,143.02,7,3,0,NORMAL,100.0,1549.66,0.0,-100.0,-255.51999999999998,0.0,33.333333333333336,1509.42,0.0
AXIS,2026-01-01 07:40:00,1,0.0,0.0,1782.39,1782.39,1782.39,0.0,424.47,424.47,7,3,0,NORMAL,0.0,1294.14,0.0,0.0,488.25,0.0,33.333333333333336,1542.0633333333335,0.0
AXIS,2026-01-01 07:45:00,2,0.0,0.0,1019.485,1084.79,1078.2595,0.0,465.295,684.26,7,3,0,NORMAL,0.0,1782.39,0.0,0.0,-762.9050000000001,0.0,0.0,1365.3383333333334,0.0
AXIS,2026-01-01 07:55:00,1,0.0,0.0,1219.69,1219.69,1219.69,0.0,2039.84,2039.84,7,3,0,NORMAL,0.0,1019.485,0.0,0.0,200.20500000000004,0.0,0.0,1340.5216666666668,0.0
