transaction_id,timestamp,amount,sender_bank,receiver_bank,payment_method,upi_app,bank_health,latency_ms,payment_status,timeout,error_code
TXN0000001,2026-01-01 00:01:39,345.0,AXIS,AXIS,UPI,PhonePe,NORMAL,1447.7,SUCCESS,0,NONE
TXN0000002,2026-01-01 00:07:00,2940.21,ICICI,KOTAK,UPI,BHIM,NORMAL,956.22,SUCCESS,0,NONE
TXN0000003,2026-01-01 00:17:34,219.04,INDUSIND,PNB,UPI,PhonePe,NORMAL,1132.68,SUCCESS,0,NONE
TXN0000004,2026-01-01 00:20:44,232.49,AXIS,INDUSIND,UPI,Paytm,NORMAL,1788.86,SUCCESS,0,NONE
TXN0000005,2026-01-01 00:35:07,590.03,INDUSIND,PNB,UPI,PhonePe,NORMAL,610.46,SUCCESS,0,NONE
TXN0000006,2026-01-01 00:37:54,790.34,BOB,SBI,UPI,BHIM,NORMAL,1198.47,SUCCESS,0,NONE
TXN0000007,2026-01-01 00:38:59,733.2,AXIS,ICICI,UPI,PhonePe,NORMAL,1504.46,SUCCESS,0,NONE
TXN0000008,2026-01-01 00:51:05,454.54,IDFC,IDFC,UPI,PhonePe,NORMAL,1241.81,SUCCESS,0,NONE
TXN0000009,2026-01-01 00:52:17,198.38,AXIS,PNB,UPI,GooglePay,NORMAL,1102.48,SUCCESS,0,NONE
TXN0000010,2026-01-01 00:53:00,46.94,HDFC,ICICI,UPI,BHIM,NORMAL,1297.84,SUCCESS,0,NONE
TXN0000011,2026-01-01 00:54:05,1281.78,KOTAK,KOTAK,UPI,PhonePe,NORMAL,1055.57,SUCCESS,0,NONE
TXN0000012,2026-01-01 00:54:28,313.56,HDFC,KOTAK,UPI,BHIM,NORMAL,1868.61,SUCCESS,0,NONE
TXN0000013,2026-01-01 00:56:39,168.85,BOB,AXIS,UPI,GooglePay,NORMAL,883.95,SUCCESS,0,NONE
TXN0000014,2026-01-01 00:57:11,104.58,SBI,SBI,UPI,BHIM,NORMAL,1055.36,FAILED,0,MERCHANT_ERROR
TXN0000015,2026-01-01 00:58:51,320.59,CANARA,AXIS,UPI,BHIM,NORMAL,879.92,SUCCESS,0,NONE
